"terms","V1"
"the",3705
"and",2038
"that",994
"for",690
"with",580
"was",567
"you",538
"this",421
"but",386
"have",367
"are",341
"not",319
"from",300
"said",279
"his",270
"they",268
"will",255
"all",241
"has",234
"one",226
"had",219
"more",194
"her",188
"out",188
"about",188
"can",185
"what",185
"would",184
"there",182
"were",179
"like",178
"when",177
"its",177
"just",175
"she",168
"who",168
"your",160
"our",157
"time",157
"some",151
"new",140
"their",139
"them",133
"which",131
"been",131
"into",128
"get",123
"also",117
"because",115
"only",110
"other",108
"after",105
"back",104
"then",100
"first",100
"him",100
"now",98
"people",98
"even",98
"how",97
"two",96
"could",93
"really",92
"day",91
"last",91
"over",89
"most",88
"know",87
"think",86
"year",86
"being",84
"good",84
"see",81
"make",81
"going",80
"many",78
"still",75
"much",75
"here",75
"those",75
"where",75
"made",73
"way",72
"well",71
"than",70
"very",69
"before",69
"things",68
"years",68
"too",67
"these",67
"down",67
"love",66
"right",65
"through",65
"work",65
"want",63
"did",61
"since",60
"take",58
"need",57
"state",57
"today",57
"world",56
"school",55
"say",55
"any",55
"off",54
"great",54
"life",54
"should",53
"own",53
"lot",53
"may",53
"says",52
"got",51
"something",51
"why",51
"thats",51
"never",50
"used",50
"dont",50
"another",50
"such",50
"again",49
"week",49
"little",49
"until",48
"three",48
"come",47
"every",47
"few",47
"same",47
"thing",46
"keep",46
"while",46
"home",46
"both",44
"came",44
"might",44
"each",44
"use",44
"went",43
"though",43
"set",43
"end",43
"look",42
"long",41
"old",41
"city",41
"light",41
"team",41
"second",41
"book",40
"let",40
"find",40
"next",40
"part",40
"big",40
"once",40
"does",40
"started",39
"night",39
"police",39
"put",39
"man",38
"around",38
"best",37
"between",37
"always",36
"house",36
"enough",36
"times",36
"season",36
"give",35
"children",35
"found",35
"help",35
"under",35
"family",35
"thought",35
"county",35
"post",34
"asked",34
"public",34
"better",34
"during",34
"high",34
"actually",33
"don",33
"having",33
"ive",33
"left",32
"told",32
"point",32
"small",32
"different",32
"against",32
"fact",31
"feel",31
"sure",31
"without",31
"using",31
"hope",30
"place",30
"everything",30
"ago",30
"away",30
"black",30
"hard",30
"top",30
"business",29
"try",29
"cant",29
"free",29
"god",29
"including",29
"job",28
"didnt",28
"course",28
"looking",28
"game",28
"makes",28
"believe",28
"story",28
"ever",28
"working",28
"program",28
"wanted",27
"anything",27
"start",27
"kind",27
"tell",27
"doing",27
"food",27
"former",27
"fun",26
"money",26
"comes",26
"coming",26
"department",26
"together",26
"according",26
"information",26
"must",26
"office",26
"thursday",26
"open",26
"bad",26
"someone",26
"case",26
"kids",25
"write",25
"instead",25
"trying",25
"show",25
"group",25
"hes",25
"close",24
"blog",24
"morning",24
"young",24
"five",24
"head",24
"local",24
"often",24
"play",24
"run",24
"done",24
"else",24
"getting",24
"half",24
"music",24
"making",23
"nothing",23
"bit",23
"call",23
"yet",23
"body",23
"nice",23
"whole",23
"become",23
"real",23
"women",23
"early",23
"east",23
"everyone",23
"given",23
"officials",23
"person",23
"process",23
"won",23
"issues",23
"word",23
"movie",22
"stuff",22
"behind",22
"writing",22
"days",22
"friend",22
"important",22
"face",22
"parents",22
"past",22
"street",22
"president",22
"yes",22
"happy",22
"paper",21
"live",21
"pretty",21
"although",21
"director",21
"number",21
"project",21
"took",21
"white",21
"able",21
"move",21
"read",21
"running",21
"several",21
"sometimes",21
"students",21
"thanks",21
