"terms","V1"
"of the",363
"in the",285
"on the",156
"to the",144
"to be",130
"and the",110
"for the",110
"with the",103
"in a",102
"at the",98
"it was",90
"from the",81
"and i",77
"i was",76
"of a",69
"with a",67
"for a",65
"as a",64
"it is",63
"is a",60
"that i",59
"and a",58
"if you",57
"will be",57
"is the",57
"he was",55
"one of",55
"going to",54
"i have",54
"it s",54
"this is",51
"that the",49
"i am",47
"i had",46
"was a",46
"want to",45
"a lot",45
"by the",45
"i m",42
"have been",42
"the same",42
"have a",41
"you can",40
"when i",40
"all the",40
"out of",40
"i think",39
"to a",39
"he said",39
"as the",38
"a few",38
"have to",37
"to get",37
"they were",36
"would be",36
"the first",35
"but i",35
"on a",34
"be a",34
"over the",34
"to do",34
"there are",33
"to see",33
"lot of",33
"they are",32
"to make",32
"so i",31
"need to",31
"don t",31
"had a",31
"has been",31
"and then",29
"about the",29
"can be",29
"that he",29
"to have",29
"the world",28
"part of",28
"was the",28
"a new",28
"of his",28
"we are",28
"into the",27
"in my",27
"is not",27
"that it",27
"such as",27
"of my",26
"the end",26
"there is",26
"to me",26
"the new",25
"kind of",25
"that we",25
"of this",25
"according to",25
"the most",25
"but it",24
"you have",24
"do you",24
"would have",24
"a great",24
"of our",23
"a little",23
"i can",23
"is that",23
"to take",23
"you are",22
"into a",22
"like a",22
"have the",22
"the day",22
"a good",22
"and it",22
"back to",22
"the only",22
"there was",21
"most of",21
"the time",21
"to go",21
"had to",21
"trying to",21
"able to",21
"in his",21
"that is",21
"the state",21
"said he",21
"the way",21
"didn t",20
"all of",20
"and that",20
"some of",20
"as i",20
"i know",20
"up to",20
"i love",20
"to help",20
"it would",20
"could be",19
"like the",19
"this year",19
"that would",19
"to say",19
"and more",19
"by a",19
"he had",19
"like to",19
"that was",19
"said the",19
"during the",19
"of them",19
"a bit",18
"has a",18
"the right",18
"if i",18
"if the",18
"the best",18
"to my",18
"which is",18
"end of",18
"it has",18
"new york",18
"the other",18
"we have",18
"i will",18
"because i",17
"that has",17
"through the",17
"was in",17
"and his",17
"as well",17
"be the",17
"the city",17
"and other",17
"at a",17
"but the",17
"i thought",17
"used to",17
"when the",17
"i dont",17
"should be",16
"fact that",16
"you know",16
"and they",16
"of those",16
"he has",16
"the us",16
"up and",16
"you will",16
"she was",16
"from a",16
"high school",16
"who has",16
"i would",16
"can t",15
"so that",15
"to find",15
"wanted to",15
"at least",15
"i could",15
"in our",15
"that you",15
"where the",15
"are not",15
"might be",15
"so much",15
"the second",15
"after the",15
"for this",15
"last year",15
"that they",14
"you to",14
"i d",14
"in their",14
"the fact",14
"to work",14
"went to",14
"and in",14
"as you",14
"at this",14
"i really",14
"is one",14
"just a",14
"not a",14
"so you",14
"to come",14
"up the",14
"what the",14
"what you",14
"a big",14
"him to",14
"i do",14
"in an",14
"its not",14
"may be",14
"on my",14
"the two",14
"their own",14
"does not",14
"of it",14
"i ve",14
"he will",14
"me to",13
"and not",13
"that are",13
"a man",13
"i used",13
"if we",13
"last week",13
"the last",13
"to write",13
"we can",13
"with her",13
"and he",13
"department of",13
"has the",13
"he is",13
"in this",13
"it and",13
"no longer",13
"out the",13
"was not",13
"way to",13
"but he",13
"said that",13
"a year",13
"been a",13
"is in",13
"of their",13
"to her",13
"to use",13
"that s",13
"but we",12
"the whole",12
"as if",12
"for you",12
"i just",12
"not be",12
"s a",12
"that she",12
"the next",12
"and what",12
"down to",12
"for all",12
"it will",12
"not only",12
"on his",12
"take a",12
"that there",12
"the top",12
"this week",12
"time and",12
"time to",12
"to his",12
"to that",12
"well as",12
"its a",12
"new jersey",12
"around the",12
"number of",12
"to give",12
"and you",12
"as he",12
"i want",12
"the word",12
"to keep",12
"even more",12
"it i",12
"go to",11
"bit of",11
"get a",11
"i didnt",11
"i started",11
"in her",11
"of course",11
"you would",11
"came to",11
"each other",11
"for me",11
"is just",11
"look at",11
"more than",11
"no one",11
"not the",11
"on this",11
"to tell",11
"under the",11
"what i",11
"across the",11
"and all",11
"as it",11
"his own",11
"i need",11
"in fact",11
"s not",11
"the game",11
"them to",11
"to try",11
"try to",11
"was to",11
"and has",11
"to look",11
"a second",11
"after a",11
"for his",11
"said they",11
"when he",11
"a long",11
"but that",11
"made a",11
"the former",11
"having a",11
"they have",11
"all that",11
"i don",11
"know that",11
"that have",11
"who is",11
"i got",10
"m not",10
"the year",10
"the rest",10
"to this",10
"what is",10
"and if",10
"i cant",10
"is to",10
"just as",10
"like this",10
"the back",10
"think of",10
"until the",10
"a certain",10
"and get",10
"and have",10
"and its",10
"as an",10
"away from",10
"because of",10
"first time",10
"for more",10
"for some",10
"get to",10
"how much",10
"is no",10
"make it",10
"of these",10
"on their",10
"out to",10
"see the",10
"they will",10
"to leave",10
"when you",10
"the season",10
"a small",10
"enough to",10
"to an",10
"years and",10
"all over",10
"did not",10
"even if",10
"in all",10
"in that",10
"make a",10
"of an",10
"of that",10
"we all",10
"you get",10
"and was",10
"love to",10
"because it",10
"hard to",10
"but when",10
"or a",10
"at all",10
"how many",10
"the case",10
"said it",10
"she said",10
"too much",9
"are a",9
"as we",9
"had the",9
"looking for",9
"of her",9
"one day",9
"the movie",9
"and even",9
"has not",9
"i hope",9
"i knew",9
"managed to",9
"now that",9
"or the",9
"sort of",9
"the middle",9
"they re",9
"why i",9
"a very",9
"ability to",9
"all i",9
"because they",9
"before i",9
"before the",9
"director of",9
"do not",9
"is it",9
"is still",9
"me and",9
"might have",9
"not to",9
"off the",9
"thank you",9
"that a",9
"that this",9
"the old",9
"the school",9
"the united",9
"think it",9
"to start",9
"up with",9
"we ve",9
"years ago",9
"you and",9
"you could",9
"with your",9
"be an",9
"in new",9
"than the",9
"that can",9
"doesn t",9
"it to",9
"many of",9
"right now",9
"talk about",9
"the one",9
"there will",9
"tried to",9
"a week",9
"is an",9
"put it",9
"if it",9
"you re",9
"but you",9
"a huge",9
"t have",9
"amount of",9
"are the",9
"members of",9
"she is",9
"what do",9
"be able",9
"if he",9
"but there",8
"i wanted",8
"i didn",8
"i went",8
"who are",8
"a book",8
"a day",8
"are still",8
"can see",8
"chance to",8
"i also",8
"not really",8
"plenty of",8
"there s",8
"to let",8
"two years",8
"would not",8
